CPUDT,CPUDT
20210707,13242
20210708,3604
20210709,3045
20210710,884
20210711,818
20210712,5679
20210713,3661
20210714,4223
20210715,4706
20210716,50506
20210717,3282
20210718,556
20210719,2871
20210720,3460
20210721,4776
20210722,4824
20210723,4387
20210724,657
20210725,7965
20210726,46104
20210727,4936
20210728,6975
20210729,13633
20210730,2460
20210731,16102
20210801,1397
20210802,10390
20210803,12947
20210804,8267
20210805,4003
20210806,2620
20210807,1077
20210808,609
20210809,1942
20210810,50946
20210811,2712
20210812,1658
20210813,2240
20210814,2131
20210815,447
20210816,1485
20210817,1865
20210818,1353
20210819,3424
20210820,1965
20210821,435
20210822,478
20210823,1940
20210824,2728
20210825,2528
20210826,9472
20210827,46522
20210828,1916
20210829,349
20210830,4616
20210831,12077
20210901,7374
20210902,439
20210903,687
20210904,710
20210905,589
20210906,11304
20210907,5461
20210908,2793
20210909,1726
20210910,1564
20210911,1474
20210912,540
20210913,11579
20210914,1447
20210915,2241
20210916,2010
20210917,2990
20210918,597
20210919,619
20210920,2536
20210921,1973
20210922,1694
20210923,2553
20210924,2743
20210925,7133
20210926,337
20210927,45206
20210928,5085
20210929,5364
20210930,3920
20211001,6847
20211002,2786
20211003,56105
20211004,10970
20211005,8966
20211006,5653
20211007,4236
20211008,2601
20211009,2481
20211010,684
20211011,2281
20211012,3603
20211013,3764
20211014,4124
20211015,2398
20211016,818
20211017,707
20211018,3949
20211019,2860
20211020,2847
20211021,3412
20211022,3314
20211023,3601
20211024,468
20211025,3652
20211026,13633
20211027,6718
20211028,14585
20211029,6026
20211030,3470
20211031,3933
20211101,11546
20211102,18793
20211103,90762
20211104,6714
20211105,4651
20211106,6595
20211107,659
20211108,10145
20211109,6587
20211110,2875
20211111,3957
20211112,4169
20211113,769
20211114,681
20211115,2875
20211116,3511
20211117,6890
20211118,4007
20211119,5453
20211120,2876
20211121,563
20211122,4596
20211123,3888
20211124,5063
20211125,4262
20211126,4682
20211127,7660
20211128,10480
20211129,7968
20211130,11344
20211201,20710
20211202,95914
20211203,15298
20211204,5162
20211205,1214
20211206,5662
20211207,6438
20211208,4548
20211209,5830
20211210,6224
20211211,1666
20211212,813
20211213,4565
20211214,8428
20211215,7329
20211216,4693
20211217,4960
20211218,2776
20211219,724
20211220,4047
20211221,6258
20211222,4083
20211223,7063
20211224,5077
20211225,1279
20211226,6763
20211227,6666
20211228,28747
20211229,6281
20211230,10176
20211231,24370
20220101,26781
20220102,2515
20220103,5850
20220104,13851
20220105,67686
20220106,25823
20220107,18542
20220108,4235
20220109,782
20220110,5912
20220111,6591
20220112,4492
20220113,4113
20220114,6851
20220115,3315
20220116,653
20220117,4946
20220118,4553
20220119,6979
20220120,5759
20220121,8115
20220122,698
20220123,542
20220124,9361
20220125,7328
20220126,6049
20220127,6847
20220128,8270
20220129,777
20220130,299
20220131,2380
20220201,50
20220202,7386
20220203,8055
20220204,1075
20220205,248
20220206,1304
20220207,19659
20220208,70651
20220209,35830
20220210,5905
20220211,6220
20220212,2943
20220213,459
20220214,4211
20220215,3619
20220216,5118
20220217,2910
20220218,3605
